unmapped_index,technology_name,linked_entity_id,tech_id,process_id,geographic_scope,temporal_scope,capacity_scope,system_boundary,source_ids,date_mapped
0,NH3_CCGT_El,LE_00001,TECH_00001,PROC_00001,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00001"", ""SRC_00002"", ""SRC_00003""]",2026-06-25
1,NH3_OCGT_El,LE_00002,TECH_00002,PROC_00002,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00001"", ""SRC_00002"", ""SRC_00003""]",2026-06-25
2,CH4_CCGT_El,LE_00003,TECH_00003,PROC_00001,GEO_ECA,TIME_2050,CAP_400000,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00004"", ""SRC_00005"", ""SRC_00006""]",2026-06-25
3,CH4_CHP_ElTh,LE_00004,TECH_00004,PROC_00003,GEO_ECA,TIME_2050,CAP_1000,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
4,CH4_FuelCell_El,LE_00005,TECH_00005,PROC_00004,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00008"", ""SRC_00007""]",2026-06-25
5,CH4_FuelCell_ElBdg,LE_00006,TECH_00005,PROC_00004,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00008"", ""SRC_00007""]",2026-06-25
6,CH4_OCGT_El,LE_00007,TECH_00006,PROC_00002,GEO_ECA,TIME_2050,CAP_100000,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
7,Geothermal_CHP_ElTh,LE_00008,TECH_00007,PROC_00005,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00007"", ""SRC_00009""]",2026-06-25
8,H2_CCGT_El,LE_00009,TECH_00008,PROC_00001,GEO_ECA,TIME_2050,CAP_400000,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00004"", ""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
9,H2_FuelCell_El,LE_00010,TECH_00009,PROC_00004,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006"", ""SRC_00008"", ""SRC_00007""]",2026-06-25
10,H2_FuelCell_El,LE_00011,TECH_00009,PROC_00004,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006"", ""SRC_00008"", ""SRC_00007""]",2026-06-25
11,H2_FuelCell_ElBdg,LE_00012,TECH_00010,PROC_00004,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006"", ""SRC_00007""]",2026-06-25
12,H2_FuelCell_ElBdg,LE_00013,TECH_00010,PROC_00004,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006"", ""SRC_00007""]",2026-06-25
13,H2_OCGT_El,LE_00014,TECH_00011,PROC_00002,GEO_ECA,TIME_2050,CAP_400000,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
14,El_PumpedHydro_Pump,LE_00015,TECH_00012,PROC_00006,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00010"", ""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
15,Hydro_PumpedTurbine_El,LE_00016,TECH_00013,PROC_00007,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00010"", ""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
16,Hydro_RunOfRiver_El,LE_00017,TECH_00014,PROC_00008,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00010"", ""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
17,Hydro_Reservoir_El,LE_00018,TECH_00015,PROC_00009,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00010"", ""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
18,MSW_Incineration_El,LE_00019,TECH_00016,PROC_00010,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
19,Solar_PVAlpine_El,LE_00020,TECH_00017,PROC_00011,GEO_ECA,TIME_2025,,BOUND_COMPLETE_INSTALLATION,"[""SRC_00011"", ""SRC_00012""]",2026-06-25
20,Solar_PVAlpine_El,LE_00021,TECH_00017,PROC_00011,GEO_ECA,TIME_2030,,BOUND_COMPLETE_INSTALLATION,"[""SRC_00011"", ""SRC_00012""]",2026-06-25
21,Solar_PVAlpine_El,LE_00022,TECH_00017,PROC_00011,GEO_ECA,TIME_2040,,BOUND_COMPLETE_INSTALLATION,"[""SRC_00011"", ""SRC_00012""]",2026-06-25
22,Solar_PVAlpine_El,LE_00023,TECH_00017,PROC_00011,GEO_ECA,TIME_2050,,BOUND_COMPLETE_INSTALLATION,"[""SRC_00011"", ""SRC_00012""]",2026-06-25
23,Solar_PVRooftop_El,LE_00024,TECH_00018,PROC_00012,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00013""]",2026-06-25
24,Solar_PVRooftop_El,LE_00025,TECH_00018,PROC_00012,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00013""]",2026-06-25
25,Solar_PVRooftop_El,LE_00026,TECH_00018,PROC_00012,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00013""]",2026-06-25
26,Solar_PVRooftop_El,LE_00027,TECH_00018,PROC_00012,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00013""]",2026-06-25
27,U235_Nuclear_El,LE_00028,TECH_00019,PROC_00013,GEO_ECA,TIME_2050,CAP_800000,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00007""]",2026-06-25
28,Wind_Turbine_El,LE_00029,TECH_00020,PROC_00014,GEO_ECA,TIME_2025,,BOUND_COMPLETE_INSTALLATION,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
29,Wind_Turbine_El,LE_00030,TECH_00020,PROC_00014,GEO_ECA,TIME_2030,,BOUND_COMPLETE_INSTALLATION,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
30,Wind_Turbine_El,LE_00031,TECH_00020,PROC_00014,GEO_ECA,TIME_2040,,BOUND_COMPLETE_INSTALLATION,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
31,Wind_Turbine_El,LE_00032,TECH_00020,PROC_00014,GEO_ECA,TIME_2050,,BOUND_COMPLETE_INSTALLATION,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
32,Wood_CHP_ElTh,LE_00033,TECH_00021,PROC_00015,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00007""]",2026-06-25
33,CH4_Boiler_ThBdg,LE_00034,TECH_00022,PROC_00016,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00006"", ""SRC_00005"", ""SRC_00007""]",2026-06-25
34,CH4_Boiler_ThInd,LE_00035,TECH_00023,PROC_00016,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
35,El_Heater_ThBdg,LE_00036,TECH_00024,PROC_00017,GEO_ECA,TIME_2025,CAP_SCALE_5,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
36,El_Heater_ThInd,LE_00037,TECH_00025,PROC_00017,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
37,El_AirCon_ThSc,LE_00038,TECH_00026,PROC_00018,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
38,El_AirCon_ThSc,LE_00039,TECH_00026,PROC_00018,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00014"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
39,El_AirCon_ThSc,LE_00040,TECH_00026,PROC_00018,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00014"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
40,El_AirCon_ThSc,LE_00041,TECH_00026,PROC_00018,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
41,H2_Boiler_ThInd,LE_00042,TECH_00027,PROC_00019,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
42,El_HeatPump_ThBdg,LE_00043,TECH_00026,PROC_00020,GEO_ECA,TIME_2025,CAP_SCALE_5,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00007""]",2026-06-25
43,El_HeatPump_ThInd,LE_00044,TECH_00028,PROC_00021,GEO_ECA,TIME_2025,CAP_500,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00007""]",2026-06-25
44,Oil_Boiler_ThBdg,LE_00045,TECH_00029,PROC_00022,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00014"", ""SRC_00007""]",2026-06-25
45,Oil_Boiler_ThInd,LE_00046,TECH_00030,PROC_00022,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
46,Wood_Boiler_ThBdg,LE_00047,TECH_00031,PROC_00023,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
47,Wood_Boiler_ThInd,LE_00048,TECH_00032,PROC_00023,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00005"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
48,H2_HaberBosch_NH3,LE_00049,TECH_00033,PROC_00024,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00001"", ""SRC_00002"", ""SRC_00003""]",2026-06-25
49,BioWet_Digestion_CH4,LE_00050,TECH_00034,PROC_00025,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00015"", ""SRC_00003"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
50,BioWet_Digestion_CH4,LE_00051,TECH_00034,PROC_00025,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00015"", ""SRC_00003"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
51,BioWet_Digestion_CH4,LE_00052,TECH_00034,PROC_00025,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00015"", ""SRC_00003"", ""SRC_00006"", ""SRC_00007""]",2026-06-25
52,H2_Sabatier_CH4,LE_00053,TECH_00035,PROC_00026,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00016"", ""SRC_00002""]",2026-06-25
53,H2_Sabatier_CH4,LE_00054,TECH_00035,PROC_00026,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00016"", ""SRC_00002""]",2026-06-25
54,H2_Sabatier_CH4,LE_00055,TECH_00035,PROC_00026,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00016"", ""SRC_00002""]",2026-06-25
